Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
112,Holy Cross,29,17,12,0.586,-5.18,-10.01,,11,7,,12,2,,5,10,,1808,1632,,66.1,84.8,0.267,0.312,0.439,46.3,53,9.1,6.3,0.4,15.7,25.4,0.19
113,Houston,30,14,16,0.467,10.43,11.4,,5,13,,11,6,,3,9,,2030,2059,,73.9,92.2,0.322,0.296,0.525,53.6,57,9.8,7.4,0.484,24.4,35.8,0.244
114,Houston Christian,29,6,23,0.207,-22.13,-4.21,,1,17,,5,8,,1,15,,1556,1886,,69.5,93.6,0.282,0.276,0.475,53.9,54.5,12.1,8.2,0.442,17,33.3,0.194
115,Howard,28,13,15,0.464,-7.44,-8.37,,10,4,,8,4,,5,8,,1663,1637,,70.2,82.6,0.364,0.375,0.455,50.3,57.5,10.6,8.7,0.407,22.4,32,0.252
116,Idaho,30,15,15,0.5,-3.33,-4.44,,8,10,,4,11,,10,4,,1792,1700,,65.7,85.9,0.245,0.287,0.462,49,39,10.2,12.1,0.424,18.4,25.1,0.184
117,Idaho State,29,11,18,0.379,-3.59,-0.49,,7,11,,8,5,,2,12,,1729,1777,,67.8,90,0.364,0.416,0.488,48.1,61,12.2,5.7,0.444,19.6,28.9,0.257
118,Illinois,29,14,15,0.483,19.19,13.26,,8,10,,10,5,,3,7,,2159,1987,,70.9,96.2,0.245,0.342,0.51,48.6,57.5,8.6,5.5,0.477,17.9,29.2,0.185
119,Illinois State,29,20,9,0.69,4.91,-0.77,,13,6,,13,1,,6,8,,2161,1964,,72.3,92.9,0.251,0.365,0.484,47.3,57.1,9.7,7.5,0.453,15.7,25.2,0.179
120,Illinois-Chicago,30,17,13,0.567,0.6,-3.14,,10,9,,8,4,,8,8,,2079,1967,,73.2,88.8,0.253,0.3,0.492,48,58.3,10.6,8.2,0.455,21.1,29.4,0.19
121,Incarnate Word,29,19,10,0.655,-6.88,-8.48,,12,6,,11,4,,8,6,,1817,1656,,65.9,84.8,0.291,0.306,0.462,46.9,52.8,9.6,8.4,0.424,20.2,29,0.203
122,Indiana,28,24,4,0.857,30.28,13.82,,15,3,,15,0,,7,4,,2249,1788,,71.5,89.3,0.25,0.286,0.48,47.1,46.9,7.6,7.3,0.447,17.5,24.9,0.18
123,Indiana State,29,10,19,0.345,-9.11,-2.07,,6,13,,3,9,,6,9,,1867,2066,,72.5,97.8,0.366,0.359,0.516,49.4,53.6,12,7,0.472,18.6,32.3,0.266
124,Iona,28,11,17,0.393,-15.41,-10.12,,6,13,,5,8,,6,9,,1617,1765,,66.9,93.8,0.203,0.323,0.483,52.4,58.9,12.5,8.5,0.459,17.6,32.5,0.14
125,Iowa,30,26,4,0.867,37.11,16.24,,15,3,,13,1,,8,3,,2780,2154,,77.3,92.5,0.233,0.378,0.492,45.2,51.9,9.1,7.7,0.461,16.8,25.3,0.172
126,Iowa State,28,18,10,0.643,22.34,15.2,,11,6,,13,2,,5,6,,2108,1908,,72,93.8,0.221,0.414,0.483,43.8,59.2,12.3,7.5,0.451,13.3,22.2,0.164
127,IUPUI,30,7,23,0.233,-12.58,-1.95,,5,15,,5,9,,2,13,,1934,2253,,74.6,99.9,0.297,0.276,0.509,51.9,52.6,11.6,9.7,0.469,16.6,33.9,0.224
128,Jackson State,28,22,6,0.786,5.05,-4.07,,17,0,,10,0,,10,5,,2010,1603,,71.5,80.1,0.322,0.287,0.432,44.5,53.1,11.1,6.3,0.383,20.7,31.6,0.23
129,Jacksonville,29,10,19,0.345,-10.48,-2.71,,6,10,,8,5,,2,14,,1877,2051,,74.9,94.4,0.367,0.347,0.509,52.1,51.6,13.8,8.1,0.472,21,36.8,0.251
130,Jacksonville State,27,11,16,0.407,-9.14,-1.82,,6,9,,8,4,,3,12,,1584,1701,,69.7,89.9,0.273,0.281,0.49,50.4,50.9,11,8.1,0.458,19.3,27.3,0.19
